Star,Radius(mi),Tempureture(K),Distance(ly),Constellation,Spectral Type
Aldebaran,19.077*10**6,3910,65.23 light years,Taurus,K5 III
Alnilam,14.006*10**6,27000,"1,344 light years",Orion,B0Ia
Alpha Centauri A,"528,860",5790,4.367 light years,Centaurus,G2V
Altair,"786,760",7700,16.73 light years,Aquila,A7V
Antares,293.96*10**6,3500,550  light years,Scorpius,M1.5Iab-Ib
Bellatrix,2.4867*10**6,22000,"22,000 K",Orion,B2III
Betelgeuse,383.4*10**6,3500,640 light years,Orion,M2Iab
Deneb,87.754*10**6,8525,"2,616 light years",Cygnus,A2 Ia
Polaris,22*10**6,6015,323–433 light years,Ursa Minor,F7Ib-II
Pollux,3.8041*10**6,4865,33.72 light years,Gemini,K0IIIb
Proxima Centauri,"66,659*10**6",3042,4.246 light years,Centaurus,M5.5 Ve
Rigel,34.11*10**6,"11,000",864.3 light years,Orion,B8Iab
R136a1,13.049*10**6,"50,000","163,000 light years",Dorado,WN5h
Saiph,9.5968*10**6,"26,500",720 light years,Orion,B0.5 Ia
Sirius,"739,640","9,940",8.61 light years,Canis Major,A1V
Stephenson 2-18,929.42*10**6,2200,"18,900 light years",Scutum,M6
